
lexrank baseline: 0it [00:00, ?it/s]
lexrank baseline: 2it [00:00,  6.45it/s]
lexrank baseline: 5it [00:00,  6.79it/s]
lexrank baseline: 6it [00:00,  7.21it/s]
lexrank baseline: 8it [00:00,  9.40it/s]
lexrank baseline: 11it [00:01, 13.10it/s]
lexrank baseline: 14it [00:01, 15.36it/s]
lexrank baseline: 16it [00:01, 14.83it/s]
lexrank baseline: 18it [00:01, 14.04it/s]
lexrank baseline: 22it [00:01, 19.48it/s]
lexrank baseline: 25it [00:02,  6.95it/s]
lexrank baseline: 28it [00:02,  8.92it/s]
lexrank baseline: 30it [00:02,  9.81it/s]
lexrank baseline: 32it [00:03,  9.42it/s]
lexrank baseline: 35it [00:03, 11.80it/s]
lexrank baseline: 39it [00:03, 15.24it/s]
lexrank baseline: 42it [00:03, 15.74it/s]
lexrank baseline: 45it [00:03, 17.75it/s]
lexrank baseline: 48it [00:03, 17.24it/s]
lexrank baseline: 50it [00:04, 14.12it/s]
lexrank baseline: 52it [00:04,  9.57it/s]
lexrank baseline: 54it [00:04, 11.02it/s]
lexrank baseline: 56it [00:04, 12.26it/s]
lexrank baseline: 58it [00:04, 12.59it/s]
lexrank baseline: 61it [00:05, 15.18it/s]
lexrank baseline: 64it [00:05, 16.51it/s]
lexrank baseline: 66it [00:05, 12.03it/s]
lexrank baseline: 68it [00:05, 13.08it/s]
lexrank baseline: 70it [00:05, 12.69it/s]
lexrank baseline: 74it [00:05, 16.83it/s]
lexrank baseline: 79it [00:06, 21.01it/s]
lexrank baseline: 82it [00:06, 22.31it/s]
lexrank baseline: 85it [00:06, 17.59it/s]
lexrank baseline: 88it [00:06, 19.73it/s]
lexrank baseline: 91it [00:06, 21.66it/s]
lexrank baseline: 94it [00:06, 20.91it/s]
lexrank baseline: 97it [00:11,  2.02it/s]
lexrank baseline: 101it [00:11,  3.07it/s]
lexrank baseline: 104it [00:11,  4.09it/s]
lexrank baseline: 107it [00:11,  5.24it/s]
lexrank baseline: 110it [00:12,  5.35it/s]
lexrank baseline: 112it [00:12,  6.19it/s]
lexrank baseline: 116it [00:12,  9.08it/s]
lexrank baseline: 119it [00:12, 10.16it/s]
lexrank baseline: 123it [00:13, 13.22it/s]
lexrank baseline: 126it [00:13, 10.67it/s]
lexrank baseline: 128it [00:13, 11.78it/s]
lexrank baseline: 132it [00:13, 14.43it/s]
lexrank baseline: 134it [00:13, 14.42it/s]
lexrank baseline: 138it [00:14, 18.07it/s]
lexrank baseline: 141it [00:14, 18.18it/s]
lexrank baseline: 145it [00:14, 21.63it/s]
lexrank baseline: 148it [00:14, 21.80it/s]
lexrank baseline: 151it [00:14, 11.68it/s]
lexrank baseline: 153it [00:15, 12.47it/s]
lexrank baseline: 157it [00:15, 16.70it/s]
lexrank baseline: 160it [00:15, 16.50it/s]
lexrank baseline: 166it [00:15, 24.04it/s]
lexrank baseline: 170it [00:15, 16.91it/s]
lexrank baseline: 175it [00:16, 12.68it/s]
lexrank baseline: 178it [00:16, 13.92it/s]
lexrank baseline: 181it [00:17,  9.53it/s]
lexrank baseline: 184it [00:17, 11.03it/s]
lexrank baseline: 186it [00:17,  9.98it/s]
lexrank baseline: 190it [00:17, 13.39it/s]
lexrank baseline: 192it [00:18, 11.65it/s]
lexrank baseline: 195it [00:18, 14.12it/s]
lexrank baseline: 198it [00:18, 16.34it/s]
lexrank baseline: 201it [00:18, 15.15it/s]
lexrank baseline: 203it [00:18, 15.68it/s]
lexrank baseline: 206it [00:18, 17.67it/s]
lexrank baseline: 209it [00:19,  9.97it/s]
lexrank baseline: 212it [00:19, 12.37it/s]
lexrank baseline: 215it [00:19,  9.89it/s]
lexrank baseline: 219it [00:20, 11.15it/s]
lexrank baseline: 223it [00:20, 13.61it/s]
lexrank baseline: 228it [00:20, 18.30it/s]
lexrank baseline: 231it [00:20, 18.43it/s]
lexrank baseline: 234it [00:20, 19.92it/s]
lexrank baseline: 237it [00:21, 16.07it/s]
lexrank baseline: 241it [00:21, 16.26it/s]
lexrank baseline: 243it [00:21, 16.24it/s]
lexrank baseline: 247it [00:21, 20.00it/s]
lexrank baseline: 250it [00:21, 15.57it/s]
lexrank baseline: 254it [00:21, 18.07it/s]
lexrank baseline: 257it [00:22, 16.48it/s]
lexrank baseline: 262it [00:22, 17.78it/s]
lexrank baseline: 265it [00:22, 13.38it/s]
lexrank baseline: 269it [00:22, 16.60it/s]
lexrank baseline: 273it [00:23, 18.96it/s]
lexrank baseline: 278it [00:23, 24.36it/s]
lexrank baseline: 282it [00:23, 25.17it/s]
lexrank baseline: 285it [00:23, 19.35it/s]
lexrank baseline: 288it [00:24, 11.90it/s]
lexrank baseline: 291it [00:24, 13.50it/s]
lexrank baseline: 293it [00:24, 13.48it/s]
lexrank baseline: 297it [00:24, 16.56it/s]
lexrank baseline: 300it [00:24, 16.80it/s]
lexrank baseline: 303it [00:24, 18.57it/s]
lexrank baseline: 306it [00:27,  3.19it/s]
lexrank baseline: 308it [00:28,  3.38it/s]
lexrank baseline: 313it [00:28,  5.04it/s]
lexrank baseline: 315it [00:28,  5.21it/s]
lexrank baseline: 317it [00:29,  4.49it/s]
lexrank baseline: 318it [00:29,  4.54it/s]
lexrank baseline: 319it [00:30,  2.66it/s]
lexrank baseline: 323it [00:31,  4.59it/s]
lexrank baseline: 326it [00:31,  6.20it/s]
lexrank baseline: 329it [00:31,  6.74it/s]
lexrank baseline: 332it [00:32,  7.01it/s]
lexrank baseline: 334it [00:32,  7.15it/s]
lexrank baseline: 336it [00:32,  8.24it/s]
